,Model,Accuracy,F1 Score
0,KNN,0.7729032258064517,0.5643564356435644
1,DecisionTree,0.7926881720430108,0.5418250950570342
2,Random Forest,0.7926881720430108,0.5602189781021898
3,Logistic Regression,0.8008602150537635,0.59135039717564
4,XG Boost,0.807741935483871,0.5880184331797236
